AT,AP,AH,AFDP,GTEP,TIT,TAT,CDP
9.3112,1015.0,92.458,3.6673,23.729,1084.4,549.69,11.833
9.1255,1014.8,94.302,3.6691,23.596,1084.1,549.76,11.774
9.0689,1014.9,95.544,3.6933,23.594,1084.0,550.06,11.787
9.0954,1014.8,96.377,3.709,23.615,1084.4,550.01,11.782
9.196,1014.5,97.028,3.715,23.662,1084.2,549.95,11.792
9.2193,1014.5,96.157,3.7043,23.659,1084.3,549.96,11.747
9.1515,1014.7,95.707,3.6833,23.611,1084.3,550.17,11.664
9.2894,1015.2,96.224,3.7536,24.223,1086.6,549.95,11.876
9.5514,1015.6,96.129,4.6292,30.867,1094.1,532.03,13.534
10.214,1015.6,96.941,4.838,32.433,1099.8,529.86,14.01
11.576,1015.6,93.55,4.854,32.441,1100.1,529.68,13.997
12.255,1014.9,89.408,4.8049,32.001,1100.1,531.42,13.841
12.773,1014.1,86.803,4.8309,32.207,1100.2,530.75,13.926
12.873,1013.5,85.724,4.7895,31.972,1100.2,531.6,13.858
12.83,1013.1,86.067,4.825,32.214,1100.3,530.81,13.944
12.744,1012.9,86.281,4.7645,31.972,1100.0,531.81,13.785
12.596,1013.1,86.224,4.8242,32.349,1100.3,530.62,13.938
11.997,1013.2,86.749,4.7958,32.265,1100.1,530.53,13.921
11.629,1013.6,87.107,4.889,32.944,1100.0,528.2,14.084
11.328,1013.6,88.7,4.8108,32.429,1100.2,530.23,13.929
11.371,1013.6,88.817,4.8503,32.663,1100.1,529.32,14.018
11.288,1013.4,89.154,4.8104,32.604,1100.1,529.86,14.06
11.065,1013.1,89.802,4.826,32.631,1100.0,529.63,13.932
11.039,1013.2,90.021,4.2987,28.715,1092.8,538.75,12.953
11.015,1013.0,89.734,3.7098,23.972,1084.8,550.09,11.803
10.946,1012.8,90.045,3.6994,23.967,1084.5,550.02,11.805
10.93,1012.6,90.489,3.6883,23.999,1084.4,549.89,11.814
10.819,1012.3,90.953,3.6773,23.98,1084.3,549.95,11.807
10.743,1012.3,91.713,3.6768,23.968,1084.5,549.99,11.78
10.679,1012.3,92.19,3.6865,23.981,1084.8,550.04,11.724
10.727,1012.7,92.601,3.6948,23.906,1084.9,550.05,11.668
10.71,1013.1,93.113,3.7076,23.748,1083.9,549.76,11.823
10.681,1013.6,93.517,4.7675,31.974,1098.5,530.61,13.821
11.737,1013.9,90.566,4.7731,32.346,1100.1,530.47,13.911
12.167,1013.6,88.615,4.833,32.52,1100.2,529.91,13.966
12.717,1013.5,86.16,4.8032,32.213,1100.1,531.11,13.873
12.857,1013.6,84.855,4.7871,32.363,1100.0,530.5,13.927
12.378,1013.9,85.354,4.7846,32.214,1100.0,530.95,13.869
12.09,1013.8,85.719,4.8377,32.675,1100.2,529.36,14.005
7.5096,1015.1,93.344,4.2745,28.345,1091.4,538.94,12.963
7.1508,1015.1,93.183,3.6475,23.563,1083.2,550.11,11.768
6.7584,1015.2,93.957,3.7037,23.747,1084.3,550.29,11.769
6.5279,1015.4,93.405,3.8144,24.117,1086.4,549.68,12.021
8.7447,1015.2,92.274,3.8508,24.25,1086.7,550.07,11.913
9.2724,1015.4,91.191,3.8468,24.329,1087.1,550.13,11.875
9.7363,1015.8,89.871,3.8011,24.195,1086.0,549.95,11.762
9.8085,1016.3,90.489,4.337,28.512,1091.2,538.37,12.885
10.242,1016.4,93.039,4.9401,32.655,1100.1,529.19,14.009
11.288,1016.2,95.52,4.9726,32.618,1100.3,529.4,14.032
12.344,1015.8,92.264,4.9116,32.151,1099.9,530.96,13.908
12.952,1015.3,86.009,4.9041,32.387,1100.0,530.29,13.974
13.315,1014.8,82.106,4.8678,32.067,1100.2,531.4,13.866
13.55,1014.6,81.483,4.8819,32.278,1100.3,530.59,13.955
13.777,1014.5,81.857,4.4569,29.021,1093.8,538.37,13.071
13.692,1014.4,83.569,4.8543,32.218,1100.1,531.13,13.915
13.514,1014.3,86.339,4.8082,32.071,1099.9,531.65,13.761
13.021,1014.4,87.323,4.9288,32.959,1100.1,528.88,13.977
10.908,1014.1,91.454,4.9469,33.052,1100.2,528.58,14.142
9.4039,1014.2,93.38,3.7497,23.905,1084.1,549.49,11.806
9.5635,1013.7,94.371,3.7262,23.696,1083.1,550.18,11.634
9.4239,1013.5,94.191,4.3244,28.44,1091.7,539.14,12.89
9.6916,1013.6,95.4,4.3055,28.166,1091.1,539.34,12.809
10.562,1013.5,97.582,3.7688,23.936,1084.8,550.15,11.767
11.31,1013.4,97.805,3.8227,23.939,1084.9,550.15,11.785
11.565,1013.5,97.406,3.811,23.932,1085.5,549.95,11.804
11.531,1013.9,98.386,3.7993,23.886,1085.4,550.24,11.823
11.353,1014.7,100.06,3.832,23.923,1085.4,549.99,11.841
11.251,1015.4,100.14,3.8645,23.987,1085.1,549.92,11.783
11.351,1015.9,100.15,3.831,23.948,1084.9,549.81,11.795
11.743,1016.3,100.15,4.1189,26.203,1089.6,544.55,12.469
12.047,1016.6,100.14,4.8999,32.106,1100.2,530.01,13.93
11.916,1016.9,100.07,4.8519,32.058,1100.4,529.82,14.031
11.684,1017.3,99.817,4.8611,32.215,1099.9,529.36,13.964
11.751,1018.1,97.703,4.8171,31.989,1100.3,529.94,14.022
11.868,1019.1,94.111,4.8712,32.34,1099.9,528.87,14.005
11.863,1019.8,91.447,4.8456,32.189,1100.1,529.59,14.069
11.715,1020.7,86.221,4.8659,32.409,1100.0,528.53,14.024
11.718,1021.5,85.127,4.771,31.707,1100.2,530.77,13.877
11.68,1022.2,85.762,4.8686,32.585,1100.0,527.79,14.088
11.627,1022.9,87.124,4.8408,32.358,1100.1,528.38,14.127
11.443,1023.4,88.428,4.9235,32.962,1100.0,526.55,14.15
11.106,1023.9,87.116,4.8656,32.535,1099.9,527.79,14.044
10.812,1024.3,88.531,3.7227,23.892,1086.0,549.6,11.918
10.616,1024.4,90.626,3.6614,23.333,1084.1,549.62,11.719
10.481,1024.5,91.562,3.6715,23.421,1084.6,549.88,11.693
10.416,1024.6,92.779,3.7065,23.56,1085.1,549.97,11.729
10.319,1024.8,94.575,3.7022,23.556,1085.0,550.12,11.777
10.264,1025.0,96.019,3.7269,23.548,1085.2,549.79,11.825
10.159,1024.9,94.762,3.7039,23.534,1085.3,550.23,11.808
10.074,1025.2,93.35,3.6806,23.52,1085.0,550.01,11.71
9.8291,1025.7,93.829,3.7811,24.295,1088.5,549.42,12.111
9.7479,1025.9,91.268,5.2189,35.429,1099.9,518.23,14.685
9.8288,1026.0,89.14,5.2542,35.703,1099.8,517.12,14.851
10.317,1026.2,85.615,5.2616,35.85,1100.0,516.96,14.85
10.756,1026.0,79.652,5.2546,35.809,1100.6,517.2,14.85
11.256,1025.7,74.673,5.2555,35.676,1100.5,517.69,14.849
11.558,1025.5,74.753,5.257,35.679,1100.2,517.36,14.849
11.416,1025.5,75.846,5.2753,35.77,1099.9,517.17,14.849
11.091,1025.5,74.967,5.2724,35.868,1099.4,516.9,14.848
10.397,1025.5,75.092,5.2637,35.968,1099.5,516.4,14.766
9.4127,1025.7,79.49,5.1605,35.171,1100.2,519.48,14.596
8.8544,1025.7,80.421,5.1174,34.974,1099.7,520.75,14.463
8.3351,1025.6,82.152,4.575,30.886,1096.3,531.62,13.515
7.6761,1025.3,84.538,3.5684,23.394,1083.5,550.06,11.697
7.1663,1025.2,86.029,3.5866,23.141,1082.9,550.13,11.795
6.688,1025.1,88.049,3.6164,23.235,1083.5,549.96,11.797
6.5309,1025.0,88.881,3.6552,23.303,1083.8,550.13,11.841
6.4385,1024.7,89.414,3.6594,23.362,1084.1,549.84,11.774
6.361,1024.4,89.001,3.6583,23.313,1083.9,549.83,11.872
6.0249,1024.3,89.448,3.7298,23.532,1085.2,550.09,11.98
5.6936,1023.9,90.38,3.7258,23.46,1084.6,549.76,11.933
5.5752,1023.7,90.994,3.7294,23.476,1084.4,549.95,11.887
5.6362,1023.5,91.429,3.7068,23.53,1084.7,550.05,11.835
5.6416,1023.5,91.253,3.6803,23.481,1084.4,549.94,11.735
5.5981,1023.5,91.765,3.7314,23.999,1085.4,548.8,11.962
5.783,1023.6,92.59,5.0503,34.111,1099.9,523.37,14.334
6.4367,1023.5,94.883,5.0587,33.686,1100.1,524.7,14.297
8.0541,1023.2,95.87,4.9686,33.015,1100.0,527.32,14.15
9.6791,1022.7,87.438,4.8578,32.252,1099.9,529.64,14.055
10.467,1022.2,81.159,4.9134,32.853,1100.0,528.39,14.069
11.205,1021.7,76.999,4.8487,32.264,1100.1,530.21,13.868
11.766,1021.5,76.63,4.9225,32.695,1100.1,528.58,14.009
12.189,1021.4,74.978,4.8985,32.448,1100.0,529.79,14.02
8.148,1020.2,95.365,4.9768,33.147,1099.9,526.96,14.124
10.05,1019.7,90.41,4.9124,32.405,1100.0,529.49,13.963
10.995,1019.1,86.505,4.9277,32.624,1100.1,529.0,14.009
11.678,1018.5,83.433,4.9186,32.613,1099.9,528.91,14.002
12.042,1018.1,81.275,4.9007,32.485,1099.9,529.34,13.952
12.194,1017.8,81.445,4.8966,32.436,1100.1,529.77,13.984
12.186,1017.5,82.068,4.9129,32.506,1099.9,529.64,13.974
11.668,1017.6,82.483,4.8645,32.362,1099.8,529.94,13.82
10.673,1017.8,85.059,5.0298,33.843,1100.1,525.06,14.226
7.4653,1017.0,91.458,3.7116,23.499,1082.9,549.36,11.845
7.7144,1016.7,92.442,3.7259,23.501,1083.1,549.74,11.819
7.7605,1016.6,91.304,3.7359,23.573,1083.5,549.91,11.867
7.8805,1016.4,89.861,3.7246,23.698,1083.9,549.62,11.92
7.8172,1015.9,88.541,3.782,23.954,1085.4,549.71,11.884
7.6759,1015.5,87.474,3.744,23.663,1083.8,549.97,11.806
7.803,1015.3,87.58,3.7295,23.701,1083.8,549.83,11.735
7.8899,1015.5,87.078,3.7175,23.672,1084.0,550.12,11.663
7.904,1015.6,88.45,3.7585,24.07,1085.6,549.83,11.88
7.6227,1015.7,89.477,4.9422,33.163,1100.0,527.18,14.112
7.9799,1015.8,91.813,4.9166,32.689,1100.0,528.62,13.994
9.3495,1015.9,93.605,4.9757,32.815,1100.1,527.79,14.12
11.006,1015.5,89.219,4.908,32.266,1100.5,529.93,14.059
11.595,1015.0,86.22,4.9176,32.522,1100.2,529.42,14.01
11.705,1014.5,86.09,4.8696,31.954,1099.9,531.64,13.833
11.842,1014.5,86.776,4.9164,32.488,1100.0,529.76,13.946
